timestamp	script_id	model	status	weighted_avg	category	singular_vision	character_depth	thematic_ambition	emotional_specificity	world_originality	dialogue_language	boldness	label	outcome	error
2026-03-17T15:21:40.753451	Ascension_1x01_-_Pilot	openai	success	5.9	Promising	5	6	7	6	7	5	6	loser	0	
2026-03-17T18:07:25.838215	Ash_vs_Evil_Dead_1x01_-_Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T04:08:17.617304	Atypical_1x01_-_Pilot	openai	success	6.85	Promising	7	7	7	7	6	7	6	loser	0	
2026-03-17T18:08:28.251122	Awake_1x01_-_Pilot	openai	success	8.05	Exceptional	8	8	8	8	9	7	9	loser	0	
2026-03-17T04:10:02.159209	Awkward_1x01_-_Pilot	openai	success	6.6	Promising	7	7	6	7	5	7	6	loser	0	
2026-03-17T04:10:18.818135	Baby_Daddy_1x01_-_Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T04:11:07.219053	Back_in_the_Game_1x01_-_Pilot	openai	success	5.7	Promising	6	6	5	6	5	6	5	loser	0	
2026-03-17T04:11:49.492858	Bad_Judge_1x01_-_Pilot	openai	success	5.55	Promising	5	6	5	6	6	6	5	loser	0	
2026-03-17T04:12:32.140137	Bad_Teacher_1x01_-_Pilot	openai	success	5.15	Competent	5	6	4	5	5	6	5	loser	0	
2026-03-17T04:13:23.497700	Banshee_1x01_-_Pilot	openai	success	7.45	Exceptional	8	7	7	7	8	7	9	loser	0	
2026-03-17T18:09:31.442618	Bastard_Executioner_1x01_-_Pilot	openai	success	6.65	Promising	7	7	7	7	6	5	6	loser	0	
2026-03-17T04:14:50.280597	Bates_Motel_1x01_Pilot	openai	success	7.05	Exceptional	6	8	7	8	7	6	8	loser	0	
2026-03-17T04:15:34.074133	Battle_Creek_1x01_-_Pilot	openai	success	5.4	Competent	5	6	5	6	5	6	4	loser	0	
2026-03-17T04:16:20.028551	Beauty_and_the_Beast_1x01_-_Pilot	openai	success	4.9	Competent	4	6	5	5	5	5	4	loser	0	
2026-03-17T04:16:57.437316	Being_Mary_Jane_1x01_-_Pilot	openai	success	6.8	Promising	7	7	7	7	6	6	7	loser	0	
2026-03-17T15:25:22.966895	Believe_1x01_-_Pilot	openai	success	7.55	Exceptional	8	8	7	8	6	7	8	loser	0	
2026-03-17T04:17:59.967889	Bellevue_1x01_-_Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T04:18:39.000655	Ben_&_Kate_1x01_-_Pilot	openai	success	5.3	Competent	5	6	5	6	4	6	4	loser	0	
2026-03-17T04:19:13.111191	Benched_1x01_-_Pilot	openai	success	5.6	Promising	5	6	5	6	5	7	6	loser	0	
2026-03-17T15:26:34.822288	Benders_1x01_-_Pilot	openai	success	4.8	Competent	4	5	5	5	5	5	6	loser	0	
2026-03-17T04:20:19.280083	Bent_1x01_-_Pilot	openai	success	5.25	Competent	5	6	5	6	4	6	3	loser	0	
2026-03-17T04:20:55.297662	Best_Friends_Forever_1x01_-_Pilot	openai	success	6.55	Promising	7	7	6	7	5	7	5	loser	0	
2026-03-17T04:21:34.491143	Betas_1x01_-_Pilot	openai	success	5.45	Competent	5	6	6	5	5	6	5	loser	0	
2026-03-17T04:22:08.148165	Betrayal_1x01_-_Pilot	openai	success	5.5	Promising	5	6	6	6	5	5	5	loser	0	
2026-03-17T04:22:42.206101	Better_With_You_1x01_-_Pilot	openai	success	4.95	Competent	5	6	5	5	3	6	2	loser	0	
2026-03-17T04:23:10.776082	Beyond_1x01_-_Pilot	openai	success	6.75	Promising	7	7	7	7	6	6	6	loser	0	
2026-03-17T04:23:42.971143	Big_Time_In_Hollywood,_Fl_1x01_-_Pilot	openai	success	6.6	Promising	6	6	7	7	8	6	8	loser	0	
2026-03-17T04:24:20.614511	Billions_1x01_-_Pilot	openai	success	7.0	Exceptional	7	8	7	6	7	7	6	loser	0	
2026-03-17T15:27:33.366621	Bionic_Woman_1x01_-_Pilot	openai	success	5.65	Promising	5	6	6	6	6	5	6	loser	0	
2026-03-17T04:25:21.614536	Black-ish_1x01_-_Pilot	openai	success	7.45	Exceptional	8	7	8	7	6	8	8	loser	0	
2026-03-17T04:25:34.650370	Black_Donnellys_1x01_-_Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T04:26:02.097723	Black_Lightning_1x01_-_Pilot	openai	success	6.95	Promising	7	7	7	7	7	6	8	loser	0	
2026-03-17T15:28:29.513259	Black_Monday_1x01_-_Pilot	openai	success	5.95	Promising	6	6	5	5	7	7	7	loser	0	
2026-03-17T04:27:06.791213	Black_Sails_1x01_-_Pilot	openai	success	6.8	Promising	7	7	7	6	7	7	6	loser	0	
2026-03-17T04:27:35.580821	Bless_This_Mess_1x01_-_Pilot	openai	success	5.55	Promising	6	6	5	6	4	6	4	loser	0	
2026-03-17T04:28:14.312419	Blindspot_1x01_-_Pilot	openai	success	5.6	Promising	4	6	5	6	8	6	7	loser	0	
2026-03-17T04:28:46.861002	Blood__Treasure_1x01_-_The_Curse_of_Cleopatra	openai	success	4.9	Competent	5	5	4	5	5	6	4	loser	0	
2026-03-17T04:29:21.375960	Bloodline_1x01_-_Pilot	openai	success	7.0	Exceptional	7	8	7	7	6	6	7	loser	0	
2026-03-17T04:29:55.426932	Blue_Bloods_1x01_-_Pilot	openai	success	5.8	Promising	5	7	6	6	5	5	7	loser	0	
2026-03-17T04:30:28.139569	Bluff_City_Law_1x01_-_Pilot	openai	success	5.4	Competent	5	6	6	5	5	6	4	loser	0	
2026-03-17T04:31:05.619251	Bob_Hearts_Abishola_1x01_-_Pilot	openai	success	5.4	Competent	5	6	6	5	6	5	4	loser	0	
2026-03-17T04:31:38.557884	Body_of_Proof_1x01_-_Pilot	openai	success	6.05	Promising	6	7	6	6	5	6	5	loser	0	
2026-03-17T15:29:20.328588	Boom_1x01_-_Pilot	openai	success	6.35	Promising	6	6	7	6	8	6	6	loser	0	
2026-03-17T04:32:43.805884	Bosch_1x01_-_Pilot	openai	success	6.0	Promising	6	7	6	6	5	6	4	loser	0	
2026-03-17T04:33:15.424925	Boss_1x01_-_Pilot	openai	success	7.85	Exceptional	8	8	8	8	6	8	9	loser	0	
2026-03-17T04:33:49.185638	Braindead_1x01_-_Pilot	openai	success	6.1	Promising	6	6	6	5	8	6	7	loser	0	
2026-03-17T04:34:19.467236	Breaking_In_1x01_-_Pilot	openai	success	5.9	Promising	6	6	5	6	6	7	5	loser	0	
2026-03-17T04:34:50.087307	Breakout_Kings_1x01_-_Pilot	openai	success	5.45	Competent	5	6	5	5	6	6	6	loser	0	
2026-03-17T04:35:04.675405	Brimstone_1x01_-_Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T04:35:33.236103	Brockmire_1x01_-_Pilot	openai	success	8.15	Exceptional	9	8	7	8	7	9	9	loser	0	
2026-03-17T04:35:45.174242	Brotherhood_of_Poland,_New_Hampshire_1x01_-_Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T04:36:18.771514	Browsers_1x01_-_Pilot	openai	success	7.55	Exceptional	8	7	7	7	8	8	9	loser	0	
2026-03-17T15:30:18.341238	Brutally_Normal_1x01_-_Pilot_(1999)	openai	success	4.8	Competent	4	6	5	5	4	5	4	loser	0	
2026-03-17T04:37:38.904862	Bull_1x01_-_Pilot	openai	success	6.8	Promising	7	7	7	6	7	7	6	loser	0	
2026-03-17T18:10:38.207423	Bunheads_1x01_-_Pilot	openai	success	0	Generic								loser	0	
2026-03-17T04:39:00.661680	CBS-Code-Black-1x01-Pilot	openai	success	6.35	Promising	6	7	6	7	6	6	6	loser	0	
2026-03-17T15:32:07.831564	COUNTERPART	openai	success	8.0	Exceptional	8	8	8	8	9	7	8	loser	0	
2026-03-17T04:39:54.277528	CSI_Cyber_1x01_-_Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T04:40:35.538813	Camp_1x01_-_Pilot	openai	success	6.25	Promising	6	7	6	7	5	6	6	loser	0	
2026-03-17T04:41:17.987548	Cane_1x01_-_Pilot	openai	success	6.45	Promising	6	7	7	6	7	6	6	loser	0	
2026-03-17T04:41:55.962561	Carnival_Row_1x01_-_Pilot	openai	success	6.85	Promising	6	7	7	7	8	7	7	loser	0	
2026-03-17T15:33:01.118233	Carols_Second_Act_1x01_-_Pilot	openai	success	6.15	Promising	6	7	6	6	5	7	5	loser	0	
2026-03-17T04:43:32.224075	Carpoolers_1x01_-_Pilot	openai	success	6.2	Promising	7	6	6	6	6	6	5	loser	0	
2026-03-17T15:33:52.984121	Casanova_1x01_-_Pilot	openai	success	6.9	Promising	7	7	7	7	6	7	7	loser	0	
2026-03-17T04:45:05.933409	Cashmere_Mafia_1x01_-_Pilot	openai	success	4.95	Competent	5	5	5	5	4	6	4	loser	0	
2026-03-17T04:45:52.241472	Catastrophe_1x01_-_Pilot	openai	success	7.6	Exceptional	8	8	7	8	6	8	7	loser	0	
2026-03-17T04:46:45.867100	Catch-22_1x01_-_Pilot	openai	success	7.3	Exceptional	7	7	8	7	7	8	8	loser	0	
2026-03-17T04:47:05.746261	Century_City_1x01_-_Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T18:11:39.402029	Chambers_1x01_-_Into_the_Void	openai	success	7.2	Exceptional	7	8	7	7	7	7	7	loser	0	
2026-03-17T04:48:53.985327	Champaign_ILL_1x01_-_Pilot	openai	success	6.45	Promising	6	6	7	7	7	6	7	loser	0	
2026-03-17T04:49:40.481007	Chance_1x01_-_Pilot	openai	success	6.85	Promising	7	7	7	7	7	6	6	loser	0	
2026-03-17T04:50:24.643123	Chaos_1x01_-_Pilot	openai	success	5.05	Competent	5	5	5	5	6	5	4	loser	0	
2026-03-17T04:51:10.986262	Charlie's_Angels_1x01_-_Pilot	openai	success	5.85	Promising	6	6	5	6	6	6	6	loser	0	
2026-03-17T15:35:39.912842	Chase_1x01_-_Pilot	openai	success	5.45	Competent	5	6	5	6	5	6	5	loser	0	
2026-03-17T18:12:43.347653	Cheers-Pilot	openai	success	7.0	Exceptional	7	7	6	7	8	8	6	winner	1	
2026-03-17T04:53:08.770682	City_On_A_Hill_1x01_-_The_Night_Flynn_Sent_the_Cops_on_the_Ice	openai	success	7.9	Exceptional	8	8	8	8	7	8	8	loser	0	
2026-03-17T04:53:49.171623	Claws_1x01_-_Pilot	openai	success	7.8	Exceptional	8	8	7	8	8	8	7	loser	0	
2026-03-17T04:54:35.805664	Clipped_1x01_-_Pilot	openai	success	4.85	Competent	5	5	5	5	4	5	4	loser	0	
2026-03-17T04:55:30.102160	Cocked_1x01_-_Pilot	openai	success	7.55	Exceptional	7	8	8	8	7	7	8	loser	0	
2026-03-17T04:56:30.344146	Code_Black_1x01_-_Pilot	openai	success	5.6	Promising	5	6	5	6	6	6	6	loser	0	
2026-03-17T04:57:20.723980	Colony_1x01_-_Pilot	openai	success	6.45	Promising	6	7	7	7	6	5	7	loser	0	
2026-03-17T04:58:20.885375	Common_Law_1x01_-_Pilot	openai	success	5.2	Competent	4	6	6	5	5	6	5	loser	0	
2026-03-17T04:59:28.067804	Complications_1x01_-_Pilot	openai	success	7.3	Exceptional	7	8	7	8	6	7	8	loser	0	
2026-03-17T05:00:23.271148	Condor_1x01_-_Pilot	openai	success	5.75	Promising	5	6	7	5	6	6	6	loser	0	
2026-03-17T18:13:42.253023	Containment_1x01_-_Pilot	openai	success	5.3	Competent	5	6	6	5	5	5	4	loser	0	
2026-03-17T05:02:24.371627	Cooper_Barrett's_Guide_to_Surviving_Your_20s_1x01_-_Pilot	openai	success	4.95	Competent	5	5	4	6	5	5	4	loser	0	
2026-03-17T05:02:51.335106	Cop_Rock_1x01_-_Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T05:03:47.253180	Cosmopolitan_1x01_-_Pilot	openai	success	7.2	Exceptional	8	7	7	7	6	8	6	loser	0	
2026-03-17T14:42:56.370341	Counterpart_1x01_-_Pilot	openai	success	7.9	Exceptional	8	8	8	8	8	7	8			
2026-03-17T05:04:13.460347	Covert_Affairs_1x01_-_Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T05:05:13.700581	Crazy_Ex-Girlfriend_1x01_-_Pilot	openai	success	8.3	Exceptional	9	8	8	8	8	8	9	loser	0	
2026-03-17T05:06:07.049196	Criminal_Behavior_1x01_-_Pilot	openai	success	5.5	Promising	5	7	5	6	4	6	4	loser	0	
2026-03-17T05:07:04.994674	Criminal_Minds_Suspect_Behavior_1x01_-_Pilot	openai	success	4.35	Competent	3	5	5	5	5	4	4	loser	0	
2026-03-17T05:08:01.207389	Crisis_1x01_-_Pilot	openai	success	5.55	Promising	5	6	6	5	5	6	7	loser	0	
2026-03-17T05:08:52.407917	Cristela_1x01_-_Pilot	openai	success	6.05	Promising	6	6	6	6	6	7	5	loser	0	
2026-03-17T05:09:50.456941	Crowded_1x01_-_Pilot	openai	success	5.1	Competent	5	6	5	5	4	6	3	loser	0	
2026-03-17T05:10:43.098201	Cult_1x01_-_Pilot	openai	success	5.65	Promising	5	6	6	6	6	5	6	loser	0	
2026-03-17T05:11:45.695121	Da_Vinci's_Demons_1x01_-_Pilot	openai	success	6.3	Promising	6	7	6	6	6	7	6	loser	0	
2026-03-17T05:12:40.665882	Dads_1x01_-_Pilot	openai	success	3.95	Generic	3	5	4	4	4	4	4	loser	0	
2026-03-17T05:13:04.728228	Damien_1x01_-_Pilot	openai	success	5.65	Promising	5	6	6	6	5	6	6	loser	0	
2026-03-17T05:13:45.391740	Dare_Me_1x01_-_Pilot	openai	success	7.45	Exceptional	8	7	7	8	7	7	8	loser	0	
2026-03-17T05:14:15.615090	Dark_Minions_1x01_-_Pilot	openai	success	4.8	Competent	5	5	4	5	5	5	4	loser	0	
2026-03-17T05:14:29.648703	Day_One_1x01_-_Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T05:14:43.542255	Days_Of_Molly_Dodd_1x01_-_Pilot	openai	success	1.05	Generic	1	1	1	1	1	1	2	loser	0	
2026-03-17T05:15:15.376038	Daytime_Divas_1x01_-_Pilot	openai	success	6.45	Promising	6	7	6	7	6	7	6	loser	0	
2026-03-17T05:15:30.756818	Deadline_1x01_-_Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T05:16:00.330164	Death_Valley_1x01_-_Pilot	openai	success	4.25	Competent	4	4	3	4	6	5	6	loser	0	
2026-03-17T15:37:18.474173	Deception_1x01_-_Pilot	openai	success	5.05	Competent	5	6	5	5	4	5	4	loser	0	
2026-03-17T05:16:53.907740	Defenders_1x01_-_Pilot	openai	success	5.25	Competent	5	6	5	5	5	6	4	loser	0	
2026-03-17T05:17:20.613543	Defying_Gravity_1x01_-_Pilot	openai	success	7.2	Exceptional	7	7	8	7	7	7	8	loser	0	
2026-03-17T05:17:50.661587	Deliverance_Creek_1x01_-_Pilot	openai	success	7.05	Exceptional	7	8	7	7	6	6	8	loser	0	
2026-03-17T05:18:16.849692	Designated_Survivor_1x01_-_Pilot	openai	success	5.75	Promising	5	6	6	6	7	5	6	loser	0	
2026-03-17T05:18:44.058566	Detroiters_1x01_-_Pilot	openai	success	7.25	Exceptional	7	7	7	8	8	7	7	loser	0	
2026-03-17T05:19:09.927131	Devious_Maids_1x01_-_Pilot	openai	success	6.3	Promising	6	6	6	7	7	6	7	loser	0	
2026-03-17T05:19:32.835048	Dexter_1x01_-_Pilot	openai	success	8.65	Transcendent	9	9	8	9	8	8	9	winner	1	
2026-03-17T18:14:54.434920	Dietland_1x01_-_Pilot	openai	success	0	Generic								loser	0	
2026-03-17T05:20:28.541071	Difficult_People_1x01_-_Pilot	openai	success	7.1	Exceptional	8	7	6	7	6	8	7	loser	0	
2026-03-17T15:38:59.716936	Dig_1x01_-_Pilot	openai	success	5.85	Promising	5	6	6	6	7	6	6	loser	0	
2026-03-17T05:21:22.599345	Dirt_1x01_-_Pilot	openai	success	6.8	Promising	7	7	7	7	6	6	7	loser	0	
2026-03-17T05:21:52.102511	Dirty_Sexy_Money_(aka_The_Darlings)_1x01_Pilot	openai	success	5.85	Promising	6	6	6	6	5	6	5	loser	0	
2026-03-17T05:22:19.906038	Disjointed_1x01_-_Pilot	openai	success	6.35	Promising	6	7	6	6	6	7	7	loser	0	
2026-03-17T15:39:49.714275	Do_No_Harm_1x01_-_Pilot	openai	success	4.9	Competent	4	5	5	5	6	5	6	loser	0	
2026-03-17T05:23:22.318472	Dollface_1x01_-_Pilot	openai	success	5.9	Promising	6	6	5	6	6	6	7	loser	0	
2026-03-17T05:23:49.865480	Dominion_1x01_-_Pilot	openai	success	6.25	Promising	6	6	7	6	8	5	6	loser	0	
2026-03-17T05:24:00.101877	Doom_Patrol_1x01_-_Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T05:24:25.864317	Down_Dog_1x01_-_Pilot	openai	success	6.2	Promising	7	6	6	6	6	6	5	loser	0	
2026-03-17T15:40:45.868989	Downward_Dog_1x01_-_Pilot	openai	success	7.1	Exceptional	7	7	7	8	7	7	6	loser	0	
2026-03-17T05:25:15.336781	Dr._Ken_1x01_-_Pilot	openai	success	5.6	Promising	6	6	5	6	4	6	5	loser	0	
2026-03-17T05:25:42.507493	Dracula_1x01_-_Pilot	openai	success	6.6	Promising	6	7	7	6	8	6	7	loser	0	
2026-03-17T05:26:09.951966	Drop_Dead_Diva_1x01_-_Pilot	openai	success	5.3	Competent	5	6	5	5	6	5	5	loser	0	
2026-03-17T05:26:35.655692	Dynasty_1x01_-_Pilot	openai	success	5.15	Competent	5	6	5	5	4	6	4	loser	0	
2026-03-17T05:26:47.334680	E.D.N.Y_1x01_-_Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T18:16:22.930301	ER-1x01-Pilot	openai	success	7.4	Exceptional	8	7	7	7	8	7	8	winner	1	
2026-03-17T05:27:28.597113	EUPHORIA-PILOT	openai	success	8.65	Transcendent	9	8	9	9	8	8	10	winner	1	
2026-03-17T15:41:34.294196	Eastwick_1x01_-_Pilot	openai	success	5.75	Promising	5	6	6	6	6	6	6	loser	0	
2026-03-17T05:28:16.304612	Eleventh_Hour_1x01_-_Pilot	openai	success	5.25	Competent	5	6	6	5	4	5	5	loser	0	
2026-03-17T05:28:28.992791	Eli_Stone_1x01_-_Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T05:28:53.799302	Emergence_1x01_-_Pilot	openai	success	5.75	Promising	5	6	6	7	6	5	5	loser	0	
2026-03-17T15:42:21.723216	Emily_Owens,_MD_1x01_-_Pilot	openai	success	4.45	Competent	4	5	4	5	4	5	4	loser	0	
2026-03-17T05:29:51.998039	Empire_1x01_-_Pilot	openai	success	7.65	Exceptional	8	8	7	8	7	7	8	loser	0	
2026-03-17T05:30:17.976092	Endgame_1x01_-_Pilot	openai	success	5.65	Promising	5	6	6	6	6	5	6	loser	0	
2026-03-17T05:30:27.594946	Entourage_1x01-Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T05:30:56.677813	Escape_at_Dannemora_1x01_-_Chapter_One	openai	success	7.2	Exceptional	7	8	7	7	7	7	7	loser	0	
2026-03-17T05:31:06.284294	Evening_Shade_1x01_-_Pilot	openai	success	1.05	Generic	1	1	1	1	1	1	2	loser	0	
2026-03-17T05:31:16.535781	Everybody_Hates_Chris_1x01_-_Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T05:31:43.786448	Everything_Sucks_1x01_-_Pilot	openai	success	6.3	Promising	6	7	6	7	6	6	5	loser	0	
2026-03-17T05:32:16.087405	Evil_1x01_-_Pilot	openai	success	7.6	Exceptional	7	8	8	8	8	7	7	loser	0	
2026-03-17T05:32:43.691594	Exit_19_1x01_-_Pilot	openai	success	6.2	Promising	6	7	5	7	5	7	6	loser	0	
2026-03-17T15:43:05.711303	Extant_1x01_-_Pilot	openai	success	5.65	Promising	5	6	6	6	6	5	6	loser	0	
2026-03-17T05:33:36.081164	Eye_Candy_1x01_-_Pilot	openai	success	5.45	Competent	5	6	5	5	6	6	6	loser	0	
2026-03-17T05:34:07.667639	Eyewitness_1x01_-_Pilot	openai	success	5.4	Competent	5	6	5	6	5	5	6	loser	0	
2026-03-17T05:34:33.248129	FBI_1x01_-_Pilot	openai	success	5.4	Competent	5	6	5	6	5	5	6	loser	0	
2026-03-17T05:34:45.011862	Fairly_Legal_1x01_-_Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T05:35:11.809302	Falling_Water_1x01_-_Pilot	openai	success	7.7	Exceptional	8	7	8	8	8	7	8	loser	0	
2026-03-17T05:35:35.487258	Fam_1x01_-_Pilot	openai	success	5.35	Competent	5	6	5	6	4	6	5	loser	0	
2026-03-17T05:36:02.223090	Famous_In_Love_1x01_-_Pilot	openai	success	4.25	Competent	4	5	3	5	4	5	3	loser	0	
